                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                      0,                 3.5922,                      0,                0.86864,                0.38333,                0.74193,                0.43552,                      0,                 31.266,                      0,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                      0,                 3.1976,                      0,                0.21202,                    0.6,                0.55621,                0.32097,                      0,                 28.266,                      0,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                      0,                 2.8144,                      0,                0.86313,                0.38333,                0.74031,                0.46635,                      0,                 28.266,                      0,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                      0,                 3.3885,                      0,                0.05556,                0.16667,                0.08292,                0.01658,                      0,                 25.031,                      0,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                      0,                      0,                      0,                0.05717,                0.18333,                0.09949,                0.02267,                      0,                 25.031,                      0,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                      0,                  3.662,                      0,                0.05556,                0.16667,                0.16583,                0.03317,                      0,                 21.906,                      0,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                      0,                 2.3018,                      0,                0.71712,                0.38333,                0.56926,                0.32188,                      0,                 21.906,                      0,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                      0,                 2.3431,                      0,                0.08494,                0.18333,                0.09948,                0.02495,                      0,                 18.766,                      0,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                      0,                 2.2002,                      0,                 0.4646,                0.21667,                0.29908,                  0.142,                      0,                 18.766,                      0,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                      0,                      0,                      0,                0.08333,                0.16667,                0.16583,                0.03317,                      0,                 15.773,                      0,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                      0,                 2.3105,                      0,                  0.075,                0.41667,                0.38211,                0.16305,                      0,                 15.773,                      0,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                      0,                 1.9383,                      0,                0.08333,                0.16667,                0.16583,                0.03317,                      0,                 13.188,                      0,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                      0,                      0,                      0,                 0.0757,                0.41667,                0.38141,                0.16281,                      0,                 13.188,                      0,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                      0,                      0,                      0,                0.16901,                0.18333,                0.16954,                0.03539,                      0,                 10.711,                      0,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                      0,                 1.7084,                      0,                0.16066,                    0.6,                0.56617,                0.30849,                      0,                 10.711,                      0,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                      0,                   1.53,                      0,                0.16066,                    0.6,                0.56617,                0.30849,                      0,                 10.711,                      0,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                      0,                 1.8234,                      0,                0.16667,                0.16667,                0.16583,                0.03317,                      0,                 8.0938,                      0,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                      0,                 1.4192,                      0,                0.16993,                0.18333,                0.16908,                0.03479,                      0,                 8.0938,                      0,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                      0,                      0,                      0,                0.19254,                0.41667,                0.37888,                0.16638,                      0,                 8.0938,                      0,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                      0,                 2.0874,                      0,                0.19254,                0.41667,                0.37888,                0.16638,                      0,                 6.2305,                      0,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                      0,                 1.4573,                      0,                0.00379,                0.01667,                 0.0026,                 0.0013,                      0,                 6.2305,                      0,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                      0,                      0,                      0,                0.03016,                   0.25,                0.21293,                0.13333,                      0,                 6.2305,                      0,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                      0,                  1.475,                      0,                0.00505,                0.01667,                0.00279,                0.00168,                      0,                 4.7266,                      0,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                      0,                      0,                      0,                0.09524,                0.43333,                0.39421,                0.27818,                      0,                 4.7266,                      0,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                      0,                      0,                      0,                0.09524,                0.43333,                0.39421,                0.27818,                      0,                 4.7266,                      0,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                      0,                 1.3409,                      0,                0.09524,                0.43333,                0.39421,                0.27818,                      0,                 3.7422,                      0,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                      0,                      0,                      0,                0.04079,                0.23333,                0.20942,                0.12804,                      0,                 3.7422,                      0,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                      0,                 1.5228,                      0,                0.12598,                0.41667,                 0.3929,                0.27321,                      0,                 3.7422,                      0,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                      0,                 1.6211,                      0,                0.12598,                0.41667,                 0.3929,                0.27321,                      0,                 3.1582,                      0,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                      0,                 1.0636,                      0,                0.04615,                0.21667,                 0.1895,                0.13072,                      0,                 3.1582,                      0,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                      0,                 1.5864,                      0,                0.13182,                    0.4,                0.37307,                 0.2758,                      0,                 3.1582,                      0,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                      0,                 1.2643,                      0,                0.13182,                    0.4,                0.37307,                 0.2758,                      0,                 2.6113,                      0,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                      0,                 1.0596,                      0,                0.05482,                0.21667,                0.18988,                0.12665,                      0,                 2.6113,                      0,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                      0,                  1.027,                      0,                0.14087,                    0.4,                0.37358,                0.27181,                      0,                 2.6113,                      0,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                      0,                0.99496,                      0,                0.14087,                    0.4,                0.37358,                0.27181,                      0,                 2.0273,                      0,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                      0,                0.97206,                      0,                0.14113,                0.38333,                0.37323,                0.27196,                      0,                 2.0273,                      0,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                      0,                 1.0965,                      0,                0.14113,                0.38333,                0.37323,                0.27196,                      0,                 2.0273,                      0,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                      0,                 1.0506,                      0,                0.14113,                0.38333,                0.37323,                0.27196,                      0,                 1.5869,                      0,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                      0,                0.97841,                      0,                0.07222,                    0.2,                0.19145,                0.12817,                      0,                 1.5869,                      0,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                      0,                 1.0138,                      0,                0.16162,                0.38333,                 0.3764,                0.25763,                      0,                 1.5869,                      0,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                      0,                   0.94,                      0,                0.16162,                0.38333,                 0.3764,                0.25763,                      0,                 1.2822,                      0,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                      0,                 1.0432,                      0,                 0.1683,                0.38333,                0.37877,                0.25904,                      0,                 1.2822,                      0,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                      0,                0.87859,                      0,                 0.1683,                0.38333,                0.37877,                0.25904,                      0,                 1.2822,                      0,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                      0,                0.86485,                      0,                 0.1683,                0.38333,                0.37877,                0.25904,                      0,                 1.0166,                      0,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                      0,                0.89112,                      0,                0.16453,                0.36667,                0.37455,                0.25798,                      0,                 1.0166,                      0,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                      0,                0.82675,                      0,                0.16453,                0.36667,                0.37455,                0.25798,                      0,                 1.0166,                      0,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                      0,                0.86666,                      0,                0.16453,                0.36667,                0.37455,                0.25798,                      0,                0.85303,                      0,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                      0,                0.80443,                      0,                0.22475,                0.36667,                0.37644,                0.26134,                      0,                0.85303,                      0,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                      0,                0.84402,                      0,                0.22475,                0.36667,                0.37644,                0.26134,                      0,                0.85303,                      0,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                      0,                0.84247,                      0,                0.22475,                0.36667,                0.37644,                0.26134,                      0,                0.85303,                      0,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                      0,                 0.9229,                      0,                0.22475,                0.36667,                0.37644,                0.26134,                      0,                0.69629,                      0,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                      0,                0.95159,                      0,                0.24206,                0.36667,                0.38345,                0.26515,                      0,                0.69629,                      0,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                      0,                0.79421,                      0,                0.24206,                0.36667,                0.38345,                0.26515,                      0,                0.69629,                      0,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                      0,                0.85222,                      0,                0.24206,                0.36667,                0.38345,                0.26515,                      0,                0.69629,                      0,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                      0,                 1.1436,                      0,                0.24206,                0.36667,                0.38345,                0.26515,                      0,                0.66211,                      0,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                      0,                0.74492,                      0,                0.29167,                0.36667,                0.38104,                 0.2657,                      0,                0.66211,                      0,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                      0,                0.80479,                      0,                0.29167,                0.36667,                0.38104,                 0.2657,                      0,                0.66211,                      0,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                      0,                0.79626,                      0,                0.29167,                0.36667,                0.38104,                 0.2657,                      0,                0.66211,                      0,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                      0,                0.79814,                      0,                    0.2,                0.18333,                0.19683,                0.13685,                      0,                 0.5708,                      0,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                      0,                0.86155,                      0,                0.29762,                0.36667,                0.38345,                0.28199,                      0,                 0.5708,                      0,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                      0,                0.86932,                      0,                0.29762,                0.36667,                0.38345,                0.28199,                      0,                 0.5708,                      0,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                      0,                0.86081,                      0,                0.29762,                0.36667,                0.38345,                0.28199,                      0,                 0.5708,                      0,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                      0,                 0.7587,                      0,                0.29762,                0.36667,                0.38345,                0.28199,                      0,                0.53076,                      0,             2.3444e-06,             2.3444e-06,             2.3444e-06
